Manufacturer,Name,Family,Class,Pass.Rating,Speed,FuelClimb,FuelTaxi,FuelHour,Range,Runway,CabinWidth,CabinLength,SeatMax, Price ,WearTakeoff,WearFlight,HP,ProductionCost
Boing,747-8I,B74,Long,94,910,9480,1280,2710,14815,2871,610,6325,660,402900000,600,22,5000,122
Airbus,A380,A380,Long,99,891,9750,1310,2854,15940,2674,650,4994,690,445600000,650,22,5000,130
Boing,747-8,B74,Long,94,910,9514,1300,2931,14815,3292,610,6325,660,389100000,600,21,5000,122
Airbus,A350-1000,A380,Long,99,903,6132,1015,2081,15600,2600,561,7378,370,366500000,450,22,5000,112
Airbus,A330-300X,A330,Long,91,871,9610,1110,2410,11750,2770,518,6376,440,264200000,500,18,5000,104
Boing,787-10 Dreamliner,B78,Long,98,877,7150,1210,2745,11910,2578,594,6812,440,325800000,450,23,5000,119
Airbus,A350-900,A380,Long,99,903,6132,1010,1995,15000,2600,561,6680,330,317400000,450,22,5000,112
Boing,787-8,B78,Long,91,877,6850,1178,2330,13620,2578,549,5672,359,239000000,500,23,5000,110
Boing,767-400,B76,Long,94,853,5650,1015,1930,10415,2611,472,6111,296,209800000,500,20,5000,94
Airbus,A330-200,A330,Long,81,871,8917,1200,2700,13450,2770,518,5882,406,238500000,550,18,5000,104
Boing,767-200,B76,Long,94,853,4650,980,1591,12800,2611,472,4821,214,189300000,480,19,5000,94
Airbus,A330-300Regional,A330,Mid,91,871,9610,1210,2610,7250,2770,518,5882,406,201500000,330,31,5000,104
Boing,737 MAX 9,737MAX,Mid,95,852,2803,1153,2257,6658,2070,376,42,11,220,124100000,125,45,3500,75
Airbus,A321NEO,A320NEO,Mid,99,828,2801,1055,2551,4400,2061,368,44,51,236,129500000,108,45,3500,74
Boing,737 MAX 8,737MAX,Mid,95,852,2803,1153,2135,220,2070,376,39,47,200,117100000,122,45,3500,75
Boing,737-900ER,737NG,Mid,90,852,3110,1153,2355,6500,2910,376,42,11,220,108400000,139,46,3500,75
Tupolev,TU-214,TU,Mid,85,861,3265,1150,2275,6670,1854,368,46,210,107500000,135,45,3500,74
Bombardier,DCH-8-400NG,D8,Prop,71,667,651,351,810,2063,1680,260,33,12,86,27000000,68,39,2000,52
Bombardier,DCH-8-400,D8,Prop,68,667,646,384,810,1295,1680,260,32,84,86,25500000,68,39,2000,52
Bombardier,CS300,Cseries,Mid,97,827,2291,1014,1830,149,1701,328,38,160,71000000,91,47,3500,66
Airbus,A320NEO,A320NEO,Mid,99,828,2915,1001,2035,4800,1991,368,37,57,180,110600000,108,45,3500,74
Tupolev,TU-204-120,TU,Mid,83,861,3365,1350,2375,6500,1854,368,46,210,102000000,141,46,3500,74
Airbus,A321,A320,Mid,87,828,3365,1065,2855,4400,2061,368,44,51,236,118300000,110,45,3500,74
Boing,737-900,737NG,Mid,90,852,2807,1153,2245,6660,2591,376,39,47,189,107100000,137,46,3500,75
Airbus,A320,A320,Mid,87,828,3165,1001,2076,4800,1991,368,37,57,180,101000000,106,45,3500,74
Bombardier,CS100,Cseries,Mid,97,827,2090,981,1690,5741,1701,328,35,135,62000000,91,47,3500,66
Airbus,A319NEO,A320,Mid,92,828,2710,991,1910,3350,1775,368,31,45,156,101500000,104,45,3500,74
Tupolev,TU-204-300,TU,Mid,83,861,3365,1350,2375,7500,1854,368,40,194,97000000,141,45,3500,74
Boing,737-700,737NG,Mid,84,852,2610,991,1850,7630,1744,376,33,6,149,85800000,135,46,3500,75
Airbus,A319,A320,Mid,75,828,2851,1001,1910,3350,1575,368,31,45,156,92300000,106,45,3500,74
Airbus,A318,A320,Mid,75,828,2200,981,1590,2700,1260,368,31,45,127,77400000,106,45,3500,74
ATR,ATR-72,ATR,Prop,65,511,646,384,810,1185,1425,257,2716,74,26800000,71,40,2000,51
Bombardier,CRJ1000NG,CRJ,Regio,79,882,1681,855,1201,1798,1799,260,3910,104,46000000,68,39,2500,52
Sukhoi,SSJ 100-125,SU,Regio,79,980,1997,955,1561,4110,2052,324,2351,125,38500000,71,40,2500,65
