Code,Name,Alliance,MainHub,Money,ActionPoints,Hubs,Quote,QualityLevel,AircraftModels
AAG,Air Agile,GLOBE,CDG,7000000000,7,MRS,1:1:1,95,B74;A320;D8
AST,Air Astroid Chile,GLOBE,SCL,5000000000,5,_NULL_,1:1:1,91,ATR;737MAX;B78
ADJ,All Dojo,GLOBE,HND,8000000000,8,CTS,1:1:2,97,ATR;737MAX;B78
LGL,LuxGlobal,SunAlliance,LUX,4000000000,4,_NULL_,1:1:0,97,CRJ;A330
AUR,Auris Aviation,GLOBE,MAD,8000000000,8,_NULL_,1:3:2,91,B78;373MAX;ATR
BAJ,Bajio Air,GLOBE,MEX,7000000000,7,_NULL_,0:1:1,93,ATR;737MAX
EST,Eastern,GLOBE,ICN,7000000000,7,_NULL_,1:2:1,93,ATR;737MAX;B78
FDB,FlyDubai,GLOBE,DXB,10000000000,10,_NULL_,3:2:1,99,B78;373MAX;ATR
GS,Greek Star,GLOBE,ATH,5000000000,5,HER,1:2:1,92,ATR;737MAX;B78
HSE,High Sweden,GLOBE,ARN,5000000000,5,_NULL_,1:2:1,98,ATR;737MAX;B78
CKZ,Czsiczi,SunAlliance,PRG,6000000000,6,_NULL_,1:5:1,94,CRJ;737MAX
OSA,Odessia Lines,GLOBE,AAL,5000000000,5,_NULL_,0:2:1,97,A320NEO;D8
ETA,Eternal Flame Airways,SunAlliance,AUH,10000000000,10,_NULL_,3:3:1,94,A380;A330;737MAX
ONT,Ontario International,GLOBE,YOW,7000000000,7,YHZ;YWG,0:2:1,96,ATR;737MAX
RA,Air Rynolds,_NULL_,DUB,8000000000,8,_NULL_,0:3:0,93,737NG
JET,Jet-3,SunAlliance,LHR,10000000000,10,BFS;GLA,1:1:1,93,A380;737NG;CRJ
PAN,PanEurope,GLOBE,MUC,10000000000,10,_NULL_,1:1:1,96,A330;A320
PAI,Partner Air by Theta,GLOBE,BOI,5000000000,5,_NULL_,0:1:3,96,ATR;737MAX
STK,Southica,_NULL_,PMO,8000000000,8,FCO;MXP,1:2:3,92,A380;A320
SEM,Sennamotion,GLOBE,VIE,5000000000,5,_NULL_,1:2:2,93,EMB;ERJ
DZA,Decair,_NULL_,ARN,8000000000,8,MMX,0:1:1,92,D8;737MAX
GEN,Geneva Connect,_NULL_,GVA,10000000000,10,_NULL_,1:1:1,92,A330;A320NEO;ATR
MAP,Maple Air,SunAlliance,YYZ,10000000000,10,YYC,1:2:1,92,737MAX;B78
THA,Theta Airlines,GLOBE,ATL,8000000000,8,_NULL_,1:1:0,94,ATR;737MAX;B78
THR,Theta Regional,GLOBE,ATL,5000000000,5,_NULL_,0:1:7,92,ATR;737MAX
THW,Theta West,GLOBE,SFO,8000000000,8,DFW,1:1:1,96,B78;373MAX;ATR
JPN,JAir,SunAlliance,KIX,10000000000,10,_NULL_,1:1:1,89,B76;373MAX;D8
CRO,Croatian,SunAlliance,ZAG,4000000000,4,DBV,0:1:1,88,AN,CSeries
KH,Kranich Air,SunAlliance,FRA,10000000000,10,MUC;DUS,1:1:1,87,737MAX;B74;A380
BLN,Beeline,OpenWorld,BRU,8000000000,8,_NULL_,2:1:0,87,B78;A320NEO
PTI,PropTime,OpenWorld,CPH,8000000000,8,AAL,0:2:1,87,AV
CRA,Cross Atlantique,OpenWorld,ORY,10000000000,10,LYS,3:1:1,87,B78,CRJ;A320NEO
CLA,Cloverleaf Air,OpenWorld,DUB,8000000000,8,_NULL_,2:7:1,87,A320NEO;A330
ABZ,AbruzzoLines,OpenWorld,PSA,6000000000,6,FCO,1:1:1,87,B76;737NG
GSY,Gesyr,OpenWorld,KEF,8000000000,8,_NULL_,1:1:0,87,737MAX
BYZ,Byzantian,OpenWorld,IST,8000000000,8,_NULL_,0:3:1,87,AV;A320
VIR,Viracoposoli,OpenWorld,BSB,8000000000,8,CGH,0:1:1,87,EMB;ERJ
NEC,Network Colombia,OpenWorld,BOG,6000000000,6,_NULL_,1:1:1,87,TU;ERJ
MEX,Mexicaan Airways,OpenWorld,MEX,8000000000,8,ACA,1:3:1,87,A320NEO;EMB;A330
MEC,Mexicaan Connect,OpenWorld,CUN,8000000000,8,_NULL_,0:1:3,87,A320;AN
SLA,States Airlines,SunAlliance,JFK,10000000000,10,LAX,2:1:1,87,A330;737NG;B78
SLR,States Regional,SunAlliance,DFW,6000000000,6,IAD,0:1:4,87,737MAX;EMB
JTR,Jet Red,OpenWorld,JFK,8000000000,8,_NULL_,1:0:1,87,B78;373MAX
JTR,Jet Red Connect,OpenWorld,JFK,8000000000,8,DTW,0:1:3,87,737;CRJ
SWA,Swampland,OpenWorld,MCO,8000000000,8,IAH,1:1:5,87,CRJ;CSeries
PFC,Notea Club,OpenWorld,DME,8000000000,8,LED,1:0:2,87,TU;SU;D8
PFD,Notea City,OpenWorld,SVX,8000000000,8,UFA;KRR,0:1:3,87,AN
BAI,Bahrain International,OpenWorld,BAH,6000000000,6,_NULL_,1:1:1,87,B76;737NG;EMB
SUM,Summer Airlines,OpenWorld,NRT,8000000000,8,ITM,1:1:0,87,A320NEO;A380
CIM,Cimanon Wings,OpenWorld,NRT,8000000000,8,ITM,0:0:1,87,D8;CRJ
HAI,Hoover Air,_NULL_,LAS,10000000000,10,MCO,0:0:1,86,CRJ;ERJ
KHT,Kranich Town,SunAlliance,DUS,10000000000,6,MUC,0:7:4,85,CRJ;A320
RAA,Aeriene Rom�ne,SunAlliance,BKR,4000000000,4,_NULL_,1:4:2,84,A330;737MAX;EMB
MAE,Maple Air Express,SunAlliance,YVR,8000000000,8,YUL,0:1:1,84,CRJ
ASW,Asia Wings,SunAlliance,ICN,6000000000,6,_NULL_,1:1:1,84,B76;A320;AN
TRO,FlyTirol,SunAlliance,VIE,8000000000,8,_NULL_,1:5:2,83,D8;737NG;B74
SJ,SaveJet,_NULL_,ATH,8000000000,8,_NULL_,0:1:0,83,AN;CSeries
EXA,Exit Air,SunAlliance,WAW,6000000000,6,_NULL_,0:2:1,82,737NG
