Iata,Icao,Region,Municipality,Name,IsHub,Latitude,Longitude,Elevation,Type,RunwayLength,RunwayCount,Slots,Passengers,WikiURL,Spalte1,Spalte2,Spalte3,Spalte4
AAL,EKYT,DK-81,Aalborg,Aalborg Airport,1,57.09275891,9.849243164,10,L,8707,2,13,3708,http://en.wikipedia.org/wiki/Aalborg_Airport,,,,
ABQ,KABQ,US-NM,Albuquerque,Albuquerque International Sunport Airport,1,35.040199,-106.609001,5355,L,13793,4,21,4450,http://en.wikipedia.org/wiki/Albuquerque_International_Sunport,,,,
ABZ,EGPD,GB-SCT,Aberdeen,Aberdeen Dyce Airport,1,57.20190048,-2.197779894,215,L,6001,4,16,5320,http://en.wikipedia.org/wiki/Aberdeen_Airport,,,,
ACA,MMAA,MX-GRO,Acapulco,General Juan N Alvarez International Airport,1,16.75709915,-99.7539978,16,L,10832,2,14,3708,http://en.wikipedia.org/wiki/General_Juan_N._%C3%81lvarez_International_Airport,,,,
ADB,LTBJ,TR-35,??zmir,Adnan Menderes International Airport,1,38.29240036,27.15699959,412,L,10630,2,15,8328,http://en.wikipedia.org/wiki/Adnan_Menderes_Airport,,,,
ADD,HAAB,ET-AA,Addis Ababa,Addis Ababa Bole International Airport,1,8.977890015,38.79930115,7630,L,12467,2,16,12000,http://en.wikipedia.org/wiki/Bole_International_Airport,,,,
ADL,YPAD,AU-SA,Adelaide,Adelaide International Airport,1,-34.945,138.531006,20,L,3100,2,12,41330,http://en.wikipedia.org/wiki/Adelaide_International_Airport,,,,
AGP,LEMG,ES-AN,M?ílaga,M?ílaga Airport,1,36.67490005,-4.499110222,53,L,10500,2,15,27466,http://en.wikipedia.org/wiki/M%C3%A1laga_Airport,,,,
AGS,KAGS,US-GA,Augusta,Augusta Regional At Bush Field,1,33.36989975,-81.96450043,144,L,8001,2,13,4291,http://en.wikipedia.org/wiki/Augusta_Regional_Airport,,,,
AKL,NZAA,NZ-AUK,Auckland,Auckland International Airport,1,-37.0080986,174.7920074,23,L,11926,2,16,12685,http://en.wikipedia.org/wiki/Auckland_International_Airport,,,,
ALG,DAAG,DZ-35,Algiers,Houari Boumediene Airport,1,36.69100189,3.215409994,82,L,11483,2,15,11104,http://en.wikipedia.org/wiki/Houari_Boumedienne_Airport,,,,
AMA,KAMA,US-TX,Amarillo,Rick Husband Amarillo International Airport,1,35.219398,-101.706001,3607,L,13502,2,18,3750,http://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport,,,,
AMM,OJAI,JO-AM,Amman,Queen Alia International Airport,1,31.72260094,35.99319839,2395,L,12008,2,16,12817,http://en.wikipedia.org/wiki/Queen_Alia_International_Airport,,,,
